"categoria","nombre_interno","imagen","bundle_origen","ancho","alto","estado_imagen"
"other-ui","qingyuanjuxing_zhezhao02_bg_9S","assets/images/game-data/other-ui/qingyuanjuxing_zhezhao02_bg_9S__atlas__actimegastar__9369d66b14.png","atlas\actimegastar.assetbundle","72","72","copiada_desde_cliente"
"other-ui","juxingzongxuan_mingchengdi02","assets/images/game-data/other-ui/juxingzongxuan_mingchengdi02__atlas__actimegastar__c96e3926a1.png","atlas\actimegastar.assetbundle","198","36","copiada_desde_cliente"
"other-ui","qingyuanjuxing_qydl_wenbendi_bg","assets/images/game-data/other-ui/qingyuanjuxing_qydl_wenbendi_bg__atlas__actimegastar__52dc99ba28.png","atlas\actimegastar.assetbundle","609","54","copiada_desde_cliente"
"other-ui","qingyuanjuxing_tanchuangdi02_9S","assets/images/game-data/other-ui/qingyuanjuxing_tanchuangdi02_9S__atlas__actimegastar__7a17fe0d98.png","atlas\actimegastar.assetbundle","21","21","copiada_desde_cliente"
"other-ui","qingyuanjuxing_liebiaobtn_H3S","assets/images/game-data/other-ui/qingyuanjuxing_liebiaobtn_H3S__atlas__actimegastar__06dcc61259.png","atlas\actimegastar.assetbundle","17","55","copiada_desde_cliente"
"other-ui","qingyuanjuxing_huobi_shuliang_bg_H3S","assets/images/game-data/other-ui/qingyuanjuxing_huobi_shuliang_bg_H3S__atlas__actimegastar__f590cf56d8.png","atlas\actimegastar.assetbundle","32","28","copiada_desde_cliente"
"other-ui","qingyuanjuxing_jindu03_bar","assets/images/game-data/other-ui/qingyuanjuxing_jindu03_bar__atlas__actimegastar__52bc820415.png","atlas\actimegastar.assetbundle","22","8","copiada_desde_cliente"
"other-ui","juxingzongxuan_mingchengdi03","assets/images/game-data/other-ui/juxingzongxuan_mingchengdi03__atlas__actimegastar__54a6777ad3.png","atlas\actimegastar.assetbundle","198","36","copiada_desde_cliente"
"other-ui","kuafuhaoshengyin_huang_da_btn","assets/images/game-data/other-ui/kuafuhaoshengyin_huang_da_btn__atlas__actimegastar__0df0c83238.png","atlas\actimegastar.assetbundle","192","58","copiada_desde_cliente"
"other-ui","juxingzongxuan_biaoti_bg","assets/images/game-data/other-ui/juxingzongxuan_biaoti_bg__atlas__actimegastar__78b0d98f9c.png","atlas\actimegastar.assetbundle","276","58","copiada_desde_cliente"
"other-ui","qingyuanjuxing_qydl_biaoti_xian","assets/images/game-data/other-ui/qingyuanjuxing_qydl_biaoti_xian__atlas__actimegastar__39cbc7e258.png","atlas\actimegastar.assetbundle","122","17","copiada_desde_cliente"
"other-ui","kuafuhaoshengyin_huang_duan_btn","assets/images/game-data/other-ui/kuafuhaoshengyin_huang_duan_btn__atlas__actimegastar__3a0373e8be.png","atlas\actimegastar.assetbundle","125","48","copiada_desde_cliente"
"other-ui","qingyuanjuxing_ka04_bg","assets/images/game-data/other-ui/qingyuanjuxing_ka04_bg__atlas__actimegastar__8d7d93620c.png","atlas\actimegastar.assetbundle","100","100","copiada_desde_cliente"
"other-ui","qingyuanjuxing_xingtandi_bg","assets/images/game-data/other-ui/qingyuanjuxing_xingtandi_bg__atlas__actimegastar__07c702deaa.png","atlas\actimegastar.assetbundle","118","34","copiada_desde_cliente"
"other-ui","qingyuanjuxing_duihua_bg_9S","assets/images/game-data/other-ui/qingyuanjuxing_duihua_bg_9S__atlas__actimegastar__f80a80ffbe.png","atlas\actimegastar.assetbundle","55","35","copiada_desde_cliente"
"other-ui","juxingzongxuan_frame_9s","assets/images/game-data/other-ui/juxingzongxuan_frame_9s__atlas__actimegastar__e7864b9f2d.png","atlas\actimegastar.assetbundle","20","20","copiada_desde_cliente"
"other-ui","qingyuanjuxing_gerenpaiming_bg_9S","assets/images/game-data/other-ui/qingyuanjuxing_gerenpaiming_bg_9S__atlas__actimegastar__9e92a39e58.png","atlas\actimegastar.assetbundle","44","44","copiada_desde_cliente"
"other-ui","juxingzongxuan_shuxingdi02_H3S","assets/images/game-data/other-ui/juxingzongxuan_shuxingdi02_H3S__atlas__actimegastar__5981dd623d.png","atlas\actimegastar.assetbundle","154","28","copiada_desde_cliente"
"other-ui","qingyuanjuxing_suo_bg","assets/images/game-data/other-ui/qingyuanjuxing_suo_bg__atlas__actimegastar__1ebd25603d.png","atlas\actimegastar.assetbundle","96","96","copiada_desde_cliente"
"other-ui","juxingzongxuan_paiming_icon_01","assets/images/game-data/other-ui/juxingzongxuan_paiming_icon_01__atlas__actimegastar__9e23e30e18.png","atlas\actimegastar.assetbundle","68","68","copiada_desde_cliente"
"other-ui","zhekoushangcheng_zhuanpan_icon","assets/images/game-data/other-ui/zhekoushangcheng_zhuanpan_icon__atlas__actimegastar__b33eb113b6.png","atlas\actimegastar.assetbundle","32","56","copiada_desde_cliente"
"other-ui","qingyuanjuxing_wenzidi01_bg","assets/images/game-data/other-ui/qingyuanjuxing_wenzidi01_bg__atlas__actimegastar__c2e92e5e7a.png","atlas\actimegastar.assetbundle","260","44","copiada_desde_cliente"
"other-ui","qingyuanjuxing_dagou_bg","assets/images/game-data/other-ui/qingyuanjuxing_dagou_bg__atlas__actimegastar__2d16fb0f91.png","atlas\actimegastar.assetbundle","56","44","copiada_desde_cliente"
"other-ui","qingyuanjuxing_ka03_bg","assets/images/game-data/other-ui/qingyuanjuxing_ka03_bg__atlas__actimegastar__06f8d5df75.png","atlas\actimegastar.assetbundle","104","104","copiada_desde_cliente"
"other-ui","qingyuanjuxing_tuangou_fanli_bg","assets/images/game-data/other-ui/qingyuanjuxing_tuangou_fanli_bg__atlas__actimegastar__348ef31732.png","atlas\actimegastar.assetbundle","130","34","copiada_desde_cliente"
"other-ui","qingyuanjuxing_zhezhao_bg","assets/images/game-data/other-ui/qingyuanjuxing_zhezhao_bg__atlas__actimegastar__31eb105c29.png","atlas\actimegastar.assetbundle","12","12","copiada_desde_cliente"
"other-ui","qingyuanjuxing_tanchuangdi03_9S","assets/images/game-data/other-ui/qingyuanjuxing_tanchuangdi03_9S__atlas__actimegastar__1f1629cd2a.png","atlas\actimegastar.assetbundle","44","44","copiada_desde_cliente"
"other-ui","qingyuanjuxing_yeqian01_btn","assets/images/game-data/other-ui/qingyuanjuxing_yeqian01_btn__atlas__actimegastar__17879011e2.png","atlas\actimegastar.assetbundle","122","69","copiada_desde_cliente"
"other-ui","qingyuanjuxing_jiahao02_btn","assets/images/game-data/other-ui/qingyuanjuxing_jiahao02_btn__atlas__actimegastar__f56ddba9ba.png","atlas\actimegastar.assetbundle","32","32","copiada_desde_cliente"
"other-ui","juxingzongxuan_paiming_icon_04","assets/images/game-data/other-ui/juxingzongxuan_paiming_icon_04__atlas__actimegastar__29e9a58a01.png","atlas\actimegastar.assetbundle","66","68","copiada_desde_cliente"
"other-ui","qingyuanjuxing_ka01_bg","assets/images/game-data/other-ui/qingyuanjuxing_ka01_bg__atlas__actimegastar__80781cf8ce.png","atlas\actimegastar.assetbundle","104","104","copiada_desde_cliente"
"other-ui","juxingzongxuan_paiming_icon_02","assets/images/game-data/other-ui/juxingzongxuan_paiming_icon_02__atlas__actimegastar__51a5471c68.png","atlas\actimegastar.assetbundle","68","68","copiada_desde_cliente"
"other-ui","juxingzongxuan_haoyoudi_xuanzhong","assets/images/game-data/other-ui/juxingzongxuan_haoyoudi_xuanzhong__atlas__actimegastar__3c2ef661b7.png","atlas\actimegastar.assetbundle","272","114","copiada_desde_cliente"
"other-ui","qingyuanjuxing_tubiaodixiehui_bg","assets/images/game-data/other-ui/qingyuanjuxing_tubiaodixiehui_bg__atlas__actimegastar__ad798a42e1.png","atlas\actimegastar.assetbundle","47","36","copiada_desde_cliente"
"other-ui","qingyuanjuxing_liebiaoxuanzhong","assets/images/game-data/other-ui/qingyuanjuxing_liebiaoxuanzhong__atlas__actimegastar__eff2c9f8d6.png","atlas\actimegastar.assetbundle","486","176","copiada_desde_cliente"
"other-ui","qingyuanjuxing_liebiaobtn_9S","assets/images/game-data/other-ui/qingyuanjuxing_liebiaobtn_9S__atlas__actimegastar__78d05946af.png","atlas\actimegastar.assetbundle","16","16","copiada_desde_cliente"
"other-ui","qingyuanjuxing_lliebiaowenzidi_bg","assets/images/game-data/other-ui/qingyuanjuxing_lliebiaowenzidi_bg__atlas__actimegastar__05ece3c39b.png","atlas\actimegastar.assetbundle","389","31","copiada_desde_cliente"
