"nombre","evidencia"
"Berserk Icebear","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Bewitcher","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Bibo Shark Guard","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Big Flower Demon","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Big Fox","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Big Rabbit","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Big Vermilion Bird","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Big White Rabbit","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Birth of the World","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Black Feather","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Black Feather Abomination","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Blacksmith","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Blade Forger","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Blazing Scourge","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Blood Soul Beast","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Bloodclaw Dove","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Bloodthirsty Taotie","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Book Demon","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"born_rim","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"born_rimtransparent","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Bow Disciple","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Brave Bull","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Break Seal","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Break the Seal","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Broken Bridge","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Broken Chain","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Brother Dragon","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Brother Tiger","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Bu Liubai","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Bu Xunhe","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Buff Point","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Burn Incense and Pray","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"C__keyDic","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Calamity Crossing Array","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Calamity Yinglong","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"camera","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Cangshan Dragon Guard","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Cangshan Kun General","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Cangshan Shark Guard","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Cangshan Snake General","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Cangshan Snow Guard","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Canjue","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Catch the rat","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Cejiang","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Celebration Time","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Chamber Supervisor","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Chang Sheng","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Chaos Priest","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Chenghuang Beast Form","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Chenghuang Human Form","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Chess Academy Disciple","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Chess Illusion","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Chi Yanlan","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Chitong","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Chizhao","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Chu Lianhuan","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Clear Toxic Mushrooms","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Cloud Boy","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Cloud Sect Disciple","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"collect_action","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"color","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"config_data","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Consume Spiritual Herb","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Converge Peony Cores","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Copperborn","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Corpse","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Corrupted Dreadfox","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Corrupted White Ape","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Crab","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Crab General","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Crab Monster","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Crypt Patrol","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Crystal Guard","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Crystal Point","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Cultivation Envoy","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Dafan","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Dan Qingzi","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Dan Qiusheng","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Dark Cultist","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Dark Phoenix","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Darkforce Vanguard","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Death Count","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"def","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Demon Clan Minion","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Demon God Dragon Emperor","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Demon in the City","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Demon Lord","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Demon Order","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Demonic Aura","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Demonic Dharma Form","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Demonic Invasion","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Demonized Martial Monk","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Demonlord Wu Zhiqi","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Ding Hanjie","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Disciplinary Monk","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Dispel the Array","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Divine Arm","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Divine Dragon Cannon","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Dong Bimo","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Dongfang Shengwang","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Dowry Nether Maiden","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Dragon","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Dragon Emperor Clone","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Dragon Maiden","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Dragon Mother","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Dragonet","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Dragonflame Hall","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Dreadfox","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Dreadfox Princess","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Dreamsnake","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Drink","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Dtinsert","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Du Xiuyuan","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Duanhe","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Eager to Try","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Eagle Guard","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Eagle Guard Boss","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Eagle Guard Leader","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Earth Elemental","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Earth Palace Demon King","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Earth Qiongqi","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Earthsplit Hoof","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"East City General","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"East Palace Mythical Beast","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"effect_born","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"effect_dead","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Elder Dragon Adult","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Elder Dragon King","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Elder of Paintings","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Elemental Boss","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Elite","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Elite Demon Realm Warrior","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Elite Disciple","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Elite Patrol","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Embroidery Needle","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Emotion Fruit","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Endbringer Thrall","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Enter Demon Seal","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Essence Fortification","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Ettonumber","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Evil Ice Phoenix","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Evil Thunder Dragon","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Evil Troublemaker","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"exp","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"F__default_value","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Falcon Scout","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Fallen Fox Demon","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Fallen Fox Maid","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Fang Qingzhuo","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Farm Maiden","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Feiyan","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Fengyi","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Fenye","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Fighter Monk","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Fire Elemental","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Fire Phoenix","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Fire PhoenixIce Sunbird","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Fire Skill","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Firework Launcher","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Fireworks","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"First Kill Chest","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"First Love","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Flame Phoenix","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Flame Trap","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Flee in Panic","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Fleeing Monk","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Flood Dragon","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Floral Float Grand Gift","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Flower Demon","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Flower Guardian","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Forged Guard","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Fox Clan Master","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Fox Cub","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Fox Village Clan Member","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Frost Phoenix","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Frosted Snow","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Fuxue","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"G__keyDic","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Gan Qingdai","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Gather Demo Mob","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Gather Test Mob","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Gelid Serpent","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Ghost Maiden Xiaoqian","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Ghost Path Lostsoul","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Ghost Scholar","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Go to Seal","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Goddess Luo","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Goldwyrm Master","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Gongsun Yi","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Grand Scholar","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Granny Fox flower","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Greedy Sprite","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Greenweed Master","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Grumpy Pig Demon","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Guan Xianshi","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Guard","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Guchuan","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Guild Campfire","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Guild Sentinel","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Guild War Defeat Chest","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Guild War Victory Chest","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Hanyi","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Head to Bridge","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Heal the injuries","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Heavenly Alliance Leader","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Heavenly Artisan Guard","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Heavenly Forger","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Heavenly Palace Demon King","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Heavenly Path Lostsoul","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Hillsplit Staff","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Hollow Taoist","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Holycourt Captain","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Holycourt Soldier","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Hot Spring Zither Immortal","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Hou Qing","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Houseboat Steward","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Huagu","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Huangshan Dragon Guard","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Huangshan Kun Guard","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Huangshan Snow Guard","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Huashan","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Huaxin","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Huodou","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Hurricane Dragon King","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Ice Phoenix","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"ignoreHit","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"ignoreHitMove","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Illusory Reflection","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Immortal Child","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Immortal Guard","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Immortal Pool Guard","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Immortal Pool Spirit Fish","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Immortal Trial","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Induce vomiting","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Inferno Lostsoul","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Ingenious Forger","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Inkplay Fairy","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Inspect the Situation","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Intact Bridge","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Investigate","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Iron Bow","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"isHpBarShow","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Jade Marrow Ganoderma","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Jade Peony","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Ji Wenzhou","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Ji Wuyou","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Ji Xiansi","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Jian Rong","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Jiang Lingyin","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Jiang Luozi","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Jiang Moli","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Jiang Wen","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Jiang Yanchen","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Jiang Yuebai","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Jiang Zhenliu","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Jinlin","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Jinshu","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Jinshuang","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Jinwen","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Jitong","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Jiushao","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"jumpdown","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Juvenile Flame Emperor","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Known Beauty","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Kongjing","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Kunpeng","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"kvList","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Kylin","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Lan Gouzhuo","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Langhuan","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Lantern","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Large Chest","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Large Crystal","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Large Mine Guard","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Larval Ice Phoenix","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Larval Phoenix","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Larval Shark Kun","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Larval White Ape","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Larval Yinglong","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Lava Treant","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Law of Cold Dread","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Law of Reversal","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Ledger Keeper","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Li Feiyu","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Li Mohan","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Li Shengwang","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Lianyu","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Liefeng","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Limitless Sword Saint","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Lin Caichen","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Lin Cailing","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Lin Danshu","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Lin Miaoran","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Lin Yanqi","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Lin Zhixian","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Lingering Celestial Melody","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Linglong","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Lingyue","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Little Boy","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Little Daoist Boy","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Little Fox","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Little Sister Rat","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Little Sister Rat Adult","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Little Solcrow","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Little Vermilion Bird","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Liu Huaqiao","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Liu Qingge","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Liuying","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Loom Maiden","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Lord","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Lord of Blood","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Lord Songyu","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Lovebond Fairy","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Lu Moqing","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Lu Wu","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Lunar Chill","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Lunarborn Palace","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Luo Seyu","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Luotuozi","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Magpie","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Magpie Feather Weaver","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Maiden Xiaoqian","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Maiden Xiaoqian Skill","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Manatee Demon","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Mara Yinglong","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Marrow Wedding Vessel","Aparece en al menos un modulo data_mon_* en ingles del cliente."
